category,name,name_zh,description,price,spice_level,dietary_tags,allergens,is_featured,status
Appetizers,Shrimp Spring Roll,,"Savour the delicate flavours of our Shrimp Spring Roll. A culinary delight wrapped in a thin, translucent rice paper, it features succulent shrimp, fresh herbs, and crisp vegetables. The combination of textures and the subtle blend of flavours make this appetizer a perfect choice for those who appreciate a light and refreshing start to their meal.",6000,0,,,no,draft
Appetizers,Butterfly King Prawn,,"A sumptuous feast for the senses, our Butterfly King Prawns are carefully selected for their size and succulence. These premium prawns are delicately sliced open, resembling beautiful butterflies, and marinated in a blend of fragrant herbs and spices. They are then lightly battered and fried to golden perfection, ensuring a crisp exterior that gives way to tender, juicy flesh. Served with a side of our special dipping sauce, crafted from a secret recipe, this dish offers a harmonious balance of flavors and textures that will tantalize your taste buds and leave you craving for more. Perfect for a luxurious starter or a mouthwatering main, our Butterfly King Prawns are a true testament to the art of Chinese cooking.",14000,0,,,no,draft
Appetizers,Dumplings,,"Dive into the heart of Chinese culinary tradition with our handcrafted Dumplings, a staple that embodies the essence of comfort food with a gourmet twist. Each dumpling is meticulously prepared, wrapping a thin, tender dough around a hearty filling of your choice – succulent pork, juicy chicken, fresh vegetables, or a combination thereof, all seasoned to perfection with a blend of traditional spices and aromatics. These little parcels of joy are then steamed to soft, pillowy perfection or pan-fried to achieve a delightful contrast of textures: a crispy bottom and a tender top. Served with a side of our signature soy-based dipping sauce, infused with ginger, garlic, and a hint of sesame oil, our Dumplings promise a burst of flavors with every bite. Ideal for sharing or savoring solo, they offer a comforting embrace of warmth and satisfaction.",6000,0,,,no,draft
Appetizers,Prawns on Toast,,"Our Prawns on Toast is a classic Chinese delicacy that showcases the delicate sweetness of prawns combined with the savory crunch of toast. We start with the finest, succulent prawns, which are carefully minced and mixed with a blend of aromatic herbs and seasonings. This mixture is then generously spread over slices of fresh bread, ensuring each piece is packed with flavor.",11000,0,,,no,draft
Appetizers,Barbecue Spare Ribs,,"Barbecue Spare Ribs are a mouthwatering and indulgent dish that brings the smoky, savory flavors of Chinese barbecue to your table. This dish features tender pork ribs that are slow-cooked to perfection, allowing the meat to become incredibly soft and juicy, before being coated in a rich, flavorful barbecue sauce that has just the right balance of sweetness and tanginess.",11000,0,,,no,draft
Appetizers,De-Geogold Crispy Beef,,"Our Geogold Crispy Beef starts with high-quality beef, carefully sliced into thin strips for maximum tenderness. The beef is marinated in a special blend of soy sauce, ginger, garlic, and a touch of rice wine, allowing the flavors to penetrate deeply and enhance the natural richness of the meat. After marinating, the beef is coated in a light, golden batter that crisps up beautifully when fried.",6000,0,,,no,draft
Appetizers,Salt Pepper Fried Calamari,,"Our Salt Pepper Fried Calamari begins with the freshest calamari, expertly cleaned and cut into bite-sized rings. The calamari is then lightly marinated in a mixture of garlic, ginger, and a hint of rice wine to enhance its natural flavor and tenderness.",11000,0,,,no,draft
Appetizers,Fried Crab with Rock Salt,,"Our Fried Crab with Rock Salt begins with the finest, freshest crabs, carefully selected for their plumpness and flavor. The crabs are cleaned and prepared, with each piece being lightly coated in a delicate batter. This batter is designed to create a thin, crispy layer that seals in the moisture of the crab while adding a satisfying crunch.",11000,0,,,no,draft
Appetizers,Deep Fried Butterfly King Prawn,,"Our Deep Fried Butterfly King Prawn features two large, premium king prawns, known for their sweet, juicy meat and impressive size. Each prawn is carefully butterflied, a technique where the prawn is split open along the back, creating a beautiful, flat shape that resembles a butterfly when cooked. This method not only enhances the prawn's presentation but also allows it to cook evenly, ensuring that every bite is tender and flavorful. (2 pieces)",14000,0,,,no,draft
Appetizers,Fried Lobster with Rock Salt,,"Our Fried Lobster with Rock Salt features succulent lobster, chosen for its tender meat and rich flavor. The lobster is carefully prepared, with each piece cut into manageable portions while ensuring that the delicate meat remains intact. The lobster is then lightly coated in a thin layer of flour or cornstarch, which helps to create a crisp, golden crust when fried.",19500,0,,,no,draft
Noodles,Singapore Noodles,,"Embark on a culinary journey with our Singapore Noodles. A vibrant stir-fry of thin rice vermicelli noodles, tender pieces of meat or shrimp, and an array of colourful vegetables. Infused with aromatic spices and sauces, this dish offers a harmonious blend of textures and flavours that captures the essence of Southeast Asian cuisine.",10000,0,,,no,draft
Noodles,Vegetable Noodles,,"Experience the freshness of our Vegetable Noodles. Delicate egg or rice noodles are expertly stir-fried with a colourful medley of garden-fresh vegetables. This dish is a celebration of wholesome flavours, offering a satisfying harmony of textures and tastes that's both nourishing and delightful.""",9500,0,,,no,draft
Noodles,Singapore Noodles Mixed of Seafood,,"Dive into a symphony of flavours from the sea with our Seafood Singapore Noodles. A tantalizing stir-fry of thin rice vermicelli noodles, brimming with an assortment of succulent seafood. The dish is enriched with aromatic spices and sauces, offering a medley of textures and oceanic flavours that transport you to the shores of Southeast Asia.",10000,0,,,no,draft
Noodles,Spaghetti Bolognese,,"Indulge in a classic favourite with our Spaghetti Bolognese. Al dente spaghetti pasta is generously coated with a rich and hearty Bolognese sauce, lovingly prepared with a blend of seasoned ground meat and savoury tomatoes. This dish offers a timeless taste of Italian comfort that's both satisfying and nostalgic.",9000,0,,,no,draft
Noodles,Chinese Noodles Chicken,,"Our Chinese Noodles with Chicken features thin, springy noodles stir-fried to perfection, absorbing all the rich flavors of the sauce and other ingredients. The chicken, typically sliced thin and marinated in a mixture of soy sauce, garlic, and a touch of sesame oil, is cooked until tender and juicy. This marination ensures the chicken is full of flavor and remains moist throughout the cooking process.",9000,0,,,no,draft
Noodles,(Beef) Chinese Noodles,,"Our Chinese Noodles with BEEF features thin, springy noodles stir-fried to perfection, absorbing all the rich flavors of the sauce and other ingredients. The BEEF, typically sliced thin and marinated in a mixture of soy sauce, garlic, and a touch of sesame oil, is cooked until tender and juicy. This marination ensures the BEEF is full of flavor and remains moist throughout the cooking process.",9000,0,,,no,draft
Noodles,(Pork) Chinese Noodles,,"Our Chinese Noodles with PORK features thin, springy noodles stir-fried to perfection, absorbing all the rich flavors of the sauce and other ingredients. The PORK, typically sliced thin and marinated in a mixture of soy sauce, garlic, and a touch of sesame oil, is cooked until tender and juicy. This marination ensures the PORK is full of flavor and remains moist throughout the cooking process.",9000,0,,,no,draft
Noodles,(Chicken)Chinese Noodles Soup,,"Our Chinese Chicken Noodle Soup features tender slices of chicken, simmered gently in a fragrant broth until they are juicy and flavorful. The chicken is typically marinated with a touch of soy sauce, ginger, and garlic, which infuses it with subtle flavor while keeping it tender and moist.",8000,0,,,no,draft
Noodles,(Pork)Chinese Noodles Soup,,"Our PORK Noodle Soup features tender slices of pork simmered gently in a fragrant broth until they are juicy and flavorful. The PORN is typically marinated with a touch of soy sauce, ginger, and garlic, which infuses it with subtle flavor while keeping it tender and moist.",8000,0,,,no,draft
Noodles,(Beef)Chinese Noodles Soup,,"Our Chinese BEEF Noodle Soup features tender slices of BEEF, simmered gently in a fragrant broth until they are juicy and flavorful. The BEEF is typically marinated with a touch of soy sauce, ginger, and garlic, which infuses it with subtle flavor while keeping it tender and moist.",8000,0,,,no,draft
Chicken Dishes,Chicken with Chinese Vegetable,,"Experience a fusion of flavours with our Chicken with Chinese Vegetable dish. Tender pieces of chicken are expertly stir-fried alongside a medley of vibrant and crisp Chinese vegetables. This dish offers a delightful harmony of textures and tastes, combining the succulence of chicken with the freshness of vegetables for a satisfying culinary journey.",12000,0,,,no,draft
Chicken Dishes,Chicken with Mixed Vegetable,,"Discover a balanced medley of flavours with our Chicken with Mixed Vegetable dish. Tender chicken pieces are skilfully stir-fried alongside an assortment of colourful and crisp vegetables. This dish offers a harmonious blend of textures and tastes, showcasing the savoury goodness of chicken in combination with the freshness of mixed vegetables.",11000,0,,,no,draft
Chicken Dishes,Chicken with Broccoli,,"Experience a delightful pairing with our Chicken with Broccoli. Tender chicken is skilfully stir-fried with vibrant broccoli florets, creating a dish that's both flavourful and wholesome. This culinary creation offers a satisfying harmony of textures and tastes, capturing the essence of savoury protein and the freshness of vegetables.""",12000,0,,,no,draft
Chicken Dishes,Sweet and Sour Chicken Sauce,,"Delight in a balance of flavours with our Sweet and Sour Chicken. Tender pieces of chicken are coated in a tangy and vibrant sweet and sour sauce, offering a symphony of taste sensations. This dish combines the succulence of chicken with the delightful contrast of sweet and tangy notes, creating a memorable culinary experience.",11000,0,,,no,draft
Chicken Dishes,Shredded Chicken and Mushrooms,,"Experience a comforting combination with our Chicken and Mushrooms dish. Tender chicken is expertly prepared and paired with savoury mushrooms, creating a satisfying blend of flavours and textures. This dish offers a harmonious marriage of protein and earthy goodness, delivering a taste of comfort and culinary excellence.",11000,0,,,no,draft
Chicken Dishes,Diced Chicken with Black Sauce,,"Embark on a journey of bold flavours with our Chicken with Black Sauce. Tender chicken is stir-fried and coated in a rich and savoury black sauce, creating a dish that's as captivating as it is delicious. This culinary creation offers a unique and indulgent experience, showcasing the depths of flavour that come from skilful cooking techniques and carefully crafted sauces.",11000,0,,,no,draft
Chicken Dishes,Curry Chicken Sauce,,"Indulge in the exotic aromas of our Curry Chicken. Tender pieces of chicken are simmered in a flavourful curry sauce that's rich with spices and depth of taste. This dish offers a tantalizing blend of flavours that's both comforting and exciting, delivering a taste of the East in every forkful.",11000,0,,,no,draft
Chicken Dishes,Hot and Spicy Chicken,,"Brace yourself for a fiery flavour experience with our Hot and Spicy Chicken. Tender chicken pieces are coated in a bold and zesty hot sauce, creating a dish that's not only delicious but also packs a punch of heat. This culinary creation offers a thrilling balance of flavours, perfect for those who love a bit of spice in every bite.",11000,0,,,no,draft
Chicken Dishes,Chicken with Garlic Sauce,,"Indulge in the robust flavours of our Chicken with Garlic Sauce. Tender chicken is expertly prepared and accompanied by a savoury garlic-infused sauce, creating a dish that's both aromatic and satisfying. This culinary creation offers a harmonious blend of protein and the pungent allure of garlic, delivering a taste of bold and delectable indulgence.",11000,0,,,no,draft
Chicken Dishes,Szechuan Chicken Sauce,,"Embark on a culinary adventure with our Szechuan Chicken. Tender pieces of chicken are bathed in a bold and spicy Szechuan sauce, creating a dish that's as fiery as it is flavourful. This dish offers a tantalizing blend of aromatic spices and heat, capturing the essence of Szechuan cuisine in every mouth-watering bite.",11000,0,,,no,draft
Chicken Dishes,Black Pepper Chicken Sauce,,"Experience the savoury allure of our Black Pepper Chicken. Tender pieces of chicken are coated in a fragrant black pepper sauce, delivering a dish that's both aromatic and flavourful. This culinary creation offers a harmonious balance of protein and the distinctive warmth of black pepper, creating a taste sensation that's both comforting and bold.",11000,0,,,no,draft
Chicken Dishes,Chicken with Honey Sauce,,"Indulge in a touch of sweetness with our Chicken with Honey Sauce. Tender chicken is skilfully prepared and coated in a luscious honey-infused sauce, creating a dish that's both savoury and delicately sweet. This culinary creation offers a delightful harmony of flavours, showcasing the succulence of chicken in combination with the richness of honey.",11000,0,,,no,draft
Chicken Dishes,Chicken with Coconut Sauce,,"Embark on a tropical journey with our Chicken with Coconut Sauce. Tender chicken pieces are artfully prepared and served in a creamy and aromatic coconut sauce, creating a dish that's both indulgent and exotic. This culinary creation offers a harmonious blend of flavours, showcasing the succulence of chicken in combination with the lusciousness of coconut.",12000,0,,,no,draft
Chicken Dishes,Chicken with Cashew Sauce,,"Discover a delightful blend of textures with our Chicken with Cashew Sauce. Tender chicken is paired with crunchy cashews in a savoury sauce, creating a dish that's both satisfying and flavourful. This culinary creation offers a harmonious marriage of protein and nuttiness, delivering a taste of richness and crunch in every bite.",12000,0,,,no,draft
Chicken Dishes,Geogold Special Sauce,,"Experience the culinary masterpiece that is our Geogold Special Chicken. Tender chicken is expertly prepared and served in a sauce crafted to perfection. This dish encapsulates a symphony of flavours unique to our restaurant, offering a culinary adventure that's both satisfying and unforgettable. Geogold Special Chicken is a testament to our commitment to excellence in every dish we create.",12000,0,,,no,draft
Chicken Dishes,Diced Chicken in Chili Sauce,,"Our Diced Chicken in Chili Sauce features succulent pieces of chicken breast or thigh, cut into bite-sized cubes for easy eating. The chicken is marinated briefly to enhance its natural flavor, typically with a mix of soy sauce, rice wine, and a touch of cornstarch to help lock in the moisture and create a tender, juicy texture.",12000,0,,,no,draft
Chicken Dishes,Diced Chicken in Ginger & Oyster Sauce,,"Our Diced Chicken in Ginger & Oyster Sauce features juicy, bite-sized pieces of chicken breast or thigh, marinated to enhance their natural flavor and tenderness. The chicken is stir-fried to perfection, ensuring that each piece is cooked through yet remains moist and succulent.",12000,0,,,no,draft
Chicken Dishes,Shredded Chicken with Green-Pepper,,"Our Shredded Chicken with Green Pepper features thin strips of chicken breast or thigh, carefully shredded to ensure a tender and even texture. The chicken is marinated in a subtle blend of soy sauce, ginger, and garlic, which enhances its natural flavor without overpowering it. This marination process also helps to keep the chicken moist and tender during cooking.",11000,0,,,no,draft
Chicken Dishes,Diced Chicken in Coconut Sauce,,"Our Diced Chicken in Coconut Sauce features tender, bite-sized pieces of chicken breast or thigh, cooked to perfection to ensure juiciness and flavor. The chicken is first marinated in a light mixture of soy sauce, ginger, and garlic, which enhances its taste and adds a subtle depth of flavor.",11000,0,,,no,draft
Chicken Dishes,Kung Pao Chicken,,"Our Kung Pao Chicken features succulent pieces of chicken breast or thigh, diced into bite-sized portions for easy eating. The chicken is marinated in a mixture of soy sauce, rice wine, and cornstarch, which ensures it stays tender and juicy during cooking.",11000,0,,,no,draft
Chicken Dishes,Dried Chicken with Chlli and Garlic Sauce,,"Our Dried Chicken with Chili and Garlic Sauce features small, dried pieces of chicken that are cooked until they develop a slightly crispy texture on the outside while remaining tender and flavorful on the inside. The chicken is marinated in a mixture of soy sauce, rice wine, and a touch of cornstarch, which helps to lock in moisture and enhance its natural taste.",11000,0,,,no,draft
Soup,Seafood and Vegetable Soup,,"Dive into a bowl of our Seafood and Vegetable Soup. A medley of ocean's finest treasures and vibrant garden vegetables come together in a comforting broth. Each spoonful is a journey of flavours, offering the freshness of the sea and the wholesome goodness of vegetables in every bite.",6500,0,,,no,draft
Soup,Seafood Soup,,"Experience the bounty of the sea with our exquisite Seafood Soup. A rich and flavourful broth teeming with an array of succulent seafood treasures. From tender shrimp to delicate pieces of fish, every spoonful captures the essence of the ocean's finest offerings, delivering a taste of maritime indulgence.",6500,0,,,no,draft
Soup,Sweet Corn Soup,,"Embrace warmth and comfort with our Sweet Corn Soup. A velvety blend of sweet corn kernels, gentle spices, and a delicate creaminess that soothes the soul. This classic favorite is a testament to the beauty of simplicity, offering a heartwarming and satisfying bowl of goodness",6500,0,,,no,draft
Soup,Pecking Soup,,"Embark on a culinary journey with our Pecking Soup. A fragrant broth infused with a harmonious blend of aromatic herbs and tender pieces of poultry. This traditional delight captures the essence of time-honoured flavours, inviting you to savor a comforting and nourishing experience.",6500,0,,,no,draft
Soup,Cream Seafood Delight Soup,,"Indulge in the luxurious flavours of our Creamy Seafood Delight Soup. A velvety concoction that marries the richness of cream with an array of delectable seafood treasures. Each spoonful offers a harmonious blend of textures and tastes, making it a truly decadent choice for those seeking a taste of elegance.",6500,0,,,no,draft
Soup,Spicy Crab Meat Soup,,"Delight in the ocean's finest with our Crab Meat Soup. A luscious blend of tender crab meat, aromatic spices, and a savoury broth that captures the essence of the sea. Each spoonful is a celebration of flavours, offering a taste of indulgence and the pure delight of premium crab.",6500,0,,,no,draft
Soup,Chicken Cream Soup,,"Experience comfort in a bowl with our Chicken Cream Soup. A velvety blend of tender chicken, delicate herbs, and the luxurious creaminess that warms both heart and soul. This timeless classic offers a soothing escape and a taste of pure cosiness with every spoonful.",6500,0,,,no,draft
Soup,Vegetable Soup,,"Vegetable Soup: Our Vegetable Soup is a vibrant medley of freshness, carefully simmered to nourish the soul and delight the palate. This light yet flavorful broth is a testament to the richness of nature, brimming with a colorful array of seasonal vegetables, each selected for their crispness and depth of flavor. We blend tender carrots, succulent zucchini, sweet peas, and leafy greens, among other garden treasures, to create a harmony of tastes and textures. Infused with a delicate mix of herbs and a hint of garlic, the soup is gently simmered to draw out the vegetables' inherent sweetness and complexity. This wholesome bowl is not only a feast for the eyes but also a restorative elixir, perfect for starting your meal on a refreshing note or enjoying as a light, standalone dish. Our Vegetable Soup invites you to savor the simplicity and elegance of expertly prepared, garden-fresh produce.",6500,0,,,no,draft
Soup,Wonton Soup (Chicken),,"Our Wonton Soup (Chicken) begins with handmade chicken wontons, which are carefully crafted using a blend of ground chicken, finely chopped vegetables, and a touch of garlic and ginger for extra flavor. The chicken filling is wrapped in thin, delicate wonton wrappers, which are folded into their signature shape, creating little parcels of deliciousness.",6500,0,,,no,draft
Soup,Chicken with Corn Soup,,"Our Chicken with Corn Soup is made with succulent pieces of chicken breast or thigh, which are gently poached to retain their tenderness and juiciness. The chicken is finely shredded and added to a rich, savory broth that serves as the base of the soup.",6500,0,,,no,draft
Soup,De Geogold Seafood,,"Our De Geogold Seafood Soup is crafted with a selection of premium seafood, including succulent shrimp, tender scallops, delicate fish fillets, and sweet crab meat. Each piece of seafood is chosen for its freshness and flavor, ensuring that every bite is a taste of the sea.",6500,0,,,no,draft
Pork Dishes,Roasted Pork and Chinese Vegetable,,"Savour the fusion of flavours with our Roasted Pork and Chinese Vegetable dish. Succulent pieces of perfectly roasted pork are paired with a colourful medley of crisp, stir-fried vegetables, all harmonized by a savoury Asian-inspired sauce. A culinary delight that brings together the richness of pork and the freshness of vegetables in every delicious bite.",11000,0,,,no,draft
Pork Dishes,Roasted Pork with Mixed Vegetable,,"Indulge in a symphony of flavours with our Roasted Pork and Mixed Vegetable ensemble. Tender slices of succulent roasted pork, expertly paired with a vibrant medley of garden-fresh vegetables. This dish offers a delightful balance of hearty and wholesome, showcasing the artistry of culinary craftsmanship in every forkful.",11000,0,,,no,draft
Pork Dishes,Roasted Pork with Broccoli,,"Experience a delightful pairing with our Roasted Pork and Broccoli. Tender, flavourful slices of roasted pork are elegantly complemented by vibrant, lightly steamed broccoli florets. This dish harmonizes the richness of pork with the freshness of broccoli, delivering a satisfying and balanced culinary experience.",12000,0,,,no,draft
Pork Dishes,Pork with Mushrooms,,"Delight in a savoury medley with our Pork with Mushrooms. Succulent pieces of pork are sautéed to perfection and paired with a delectable assortment of mushrooms. A harmonious blend of textures and earthy flavors that creates a truly satisfying dish, offering a taste of culinary sophistication. Delight in a savoury medley with our Pork with Mushrooms. Succulent pieces of pork are sautéed to perfection and paired with a delectable assortment of mushrooms. A harmonious blend of textures and earthy flavours that creates a truly satisfying dish, offering a taste of culinary sophistication.",11000,0,,,no,draft
Pork Dishes,Pork and Cashew Nuts,,"Experience a perfect balance of flavours with our Pork and Cashew Nuts. Tender slices of pork stir-fried with a generous helping of crunchy cashew nuts, creating a delightful contrast of textures. The savoury-sweet sauce binds it all together, offering a mouth-watering dish that's both satisfying and indulgent.",11000,0,,,no,draft
Pork Dishes,Sweet & Pork,,"Our Sweet & Sour Pork features succulent pieces of pork that are marinated, lightly battered, and then fried to achieve a crispy, golden-brown exterior while keeping the meat tender and juicy inside. The pork is the star of this dish, providing a hearty and satisfying bite with every mouthful.",11000,0,,,no,draft
Pork Dishes,Shredded Pork in Spicy Sauce,,"Our Shredded Pork in Spicy Sauce features tender pork, thinly sliced into fine strips to ensure each piece is flavorful and easy to eat. The pork is marinated in a mixture of soy sauce, garlic, and a hint of ginger, which infuses the meat with savory undertones and keeps it juicy during cooking.",11000,0,,,no,draft
Pork Dishes,Pork in Chili Sauce,,"Our Pork in Chili Sauce features succulent pieces of pork that are carefully sliced or diced to ensure tenderness and an even distribution of flavors. The pork is marinated in a blend of soy sauce, garlic, and ginger, which enhances its natural flavors and helps to keep the meat juicy during cooking.",11000,0,,,no,draft
Pork Dishes,Pork Spareribs with Veggies,,"Our Pork Spareribs with Veggies features succulent pork spareribs that are slow-cooked or braised to achieve a tender, fall-off-the-bone texture. The ribs are marinated in a blend of soy sauce, garlic, and spices, allowing the flavors to deeply penetrate the meat, resulting in a savory and robust taste.",11000,0,,,no,draft
Pork Dishes,Sliced Lamb in Curry Sauce,,"Our Sliced Lamb in Curry Sauce features tender lamb, thinly sliced to ensure each piece is soft and flavorful. The lamb is marinated in a blend of spices, including garlic, ginger, and a touch of soy sauce, which enhances its natural flavors and keeps the meat juicy during cooking.",11000,0,,,no,draft
Pork Dishes,Sliced Lamb with Vegetables,,"Our Sliced Lamb with Vegetables features premium lamb, thinly sliced to ensure tenderness and even cooking. The lamb is marinated in a blend of soy sauce, garlic, ginger, and a touch of sesame oil, which enhances its natural flavors and keeps the meat juicy and flavorful.",11000,0,,,no,draft
Beef Dishes,Geogold Special Sauce,,"Elevate your dining experience with our signature Geogold Special Sauce. A tantalizing creation that combines a rich blend of flavours, carefully crafted to enhance the essence of your dish. With a perfect balance of savoury, tangy, and a touch of sweetness, this sauce adds a touch of culinary magic to any selection.",11000,0,,,no,draft
Beef Dishes,Beef and Curry Sauce,,"Indulge in a journey of taste with our Beef and Curry Sauce. Tender beef slices are luxuriously coated in a fragrant and rich curry sauce, infusing every bite with a symphony of exotic spices and hearty flavors. A harmonious fusion that captures the essence of global cuisine in a single, unforgettable dish.",11000,0,,,no,draft
Beef Dishes,Beef and Garlic Sauce,,"Experience the enticing aroma of our Beef and Garlic Sauce. Succulent beef slices are wok-tossed to perfection and bathed in a savoury garlic-infused sauce. The marriage of tender meat and the bold, aromatic essence of garlic creates a dish that's both comforting and full of flavour.",11000,0,,,no,draft
Beef Dishes,Hot and Spicy Beef Sauce,,"Ignite your taste buds with our Hot and Spicy Beef Sauce. Tender beef slices are enrobed in a fiery blend of spices, creating a dish that's as bold as it is flavorful. Each bite is a thrilling adventure, a dance of heat and flavor that leaves a tantalizing impression.",11000,0,,,no,draft
Beef Dishes,Huanan Beef Suace,,"Embark on a culinary journey with our Huanan Beef Sauce. A delightful fusion of East Asian flavour's, this dish features tender beef slices harmoniously combined with an exquisite blend of sauces and seasonings. Experience the rich cultural heritage of the Huanan region in every mouth-watering bite.",11000,0,,,no,draft
Beef Dishes,Mongolian Beef Sauce,,"Discover the allure of our Mongolian Beef Sauce. Tender beef slices are stir-fried to perfection and coated in a savory and slightly sweet Mongolian-inspired sauce. This dish embodies the spirit of Mongolian cuisine, bringing together bold flavors and exquisite textures for a truly satisfying experience.",11000,0,,,no,draft
Beef Dishes,Beef with Cashew Nut Sauce,,Experience a delightful contrast of flavours and textures with our Beef with Cashew Nut Sauce. Juicy beef slices are paired with crunchy cashew nuts and enveloped in a savoury sauce that strikes the perfect balance between savoury and nutty sweetness. This dish is a celebration of culinary harmony that's sure to please your palate.,11000,0,,,no,draft
Beef Dishes,Beef with Black Been Sauce,,Delight in a bold and savory adventure with our Beef with Black Bean Sauce. Succulent beef slices are stir-fried to perfection and combined with the robust flavours of black bean sauce. This dish offers a tantalizing blend of umami and richness that's as satisfying as it is memorable.,11000,0,,,no,draft
Beef Dishes,Beef with String Beef Sauce,,Delight in a bold and savoury adventure with our Beef with Black Bean Sauce. Succulent beef slices are stir-fried to perfection and combined with the robust flavours of black bean sauce. This dish offers a tantalizing blend of umami and richness that's as satisfying as it is memorable.,11000,0,,,no,draft
Beef Dishes,Shreeded Beef with Green Pepper & Onions,,"Shredded Beef with Green Pepper & Onions: Embark on a flavorful journey with our Shredded Beef with Green Pepper & Onions, a dish that masterfully combines tender, marinated beef with the crisp freshness of green bell peppers and the sweet sharpness of onions. The beef, carefully selected for its quality and texture, is slow-cooked until perfectly tender, then expertly shredded to absorb the rich blend of savory sauces and aromatic spices. Stir-fried with slices of green pepper and onion, this dish achieves a delightful balance of flavors and textures, where the sweetness of the vegetables complements the savory depth of the beef. A hint of spice and the smokiness from the wok lend an irresistible aroma and a bold character to this classic dish. Served steaming hot, our Shredded Beef with Green Pepper & Onions is a testament to the art of Chinese cooking, promising a memorable experience with every bite. Perfect for those who appreciate a dish that combines robust flavors with the freshness of vegetables, it's an ideal choice for a satisfying main course.",11000,0,,,no,draft
Beef Dishes,Beef with Broccoli,,"Our Beef with Broccoli features thin slices of premium beef, such as flank steak or sirloin, which are marinated to ensure maximum tenderness and flavor. The beef is marinated in a mixture of soy sauce, garlic, ginger, and a touch of cornstarch. This marination not only enhances the beef's flavor but also helps to create a silky, tender texture that pairs beautifully with the broccoli.",12000,0,,,no,draft
Beef Dishes,Sliced Beef in Black Pepper Sacue,,"Our Sliced Beef in Black Pepper Sauce features premium cuts of beef, such as flank steak or ribeye, thinly sliced to ensure tenderness and even cooking. The beef is marinated in a light mixture of soy sauce, garlic, and a touch of cornstarch, which not only enhances its flavor but also ensures a silky texture.",11000,0,,,no,draft
Beef Dishes,Beef with Dried Chlli and Garlic Sauce,,"Our Beef with Dried Chili and Garlic Sauce features tender slices of beef, expertly cut to ensure a perfect balance between tenderness and flavor absorption. The beef is marinated in a mixture of soy sauce, rice wine, and a touch of cornstarch, which helps to lock in the moisture and keep the meat juicy during cooking.",11000,0,,,no,draft
Sea Food Dishes,Shrimps with Chinese Vegetable,,"Experience the harmony of land and sea with our Shrimp with Chinese Vegetable dish. Plump and succulent shrimp are accompanied by a colourful array of stir-fried vegetables, all brought together by a savoury Asian-inspired sauce. A delightful balance of textures and flavours that invites you to savour the best of both worlds.",12500,0,,,no,draft
